player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Brandon Pastor,bpastor,phoenix,35,-2.0275745633746554,-0.05793070181070444,0.9805719197070965,-6.508285714285714
Jacob Cowan,jcowan,empire,51,-2.9586770522562142,-0.058013275534435575,0.9790171373914405,-7.742156862745098
Alex Atkins,aatkins,empire,79,-4.58541462142153,-0.05804322305596874,0.9759617968837024,-7.90379746835443
Simon Dastrup,sdastrup,shred,49,-2.8630025406763973,-0.05842862327911015,0.9813629066876274,-6.353469387755102
Ben Jagt,bjagt,empire,48,-2.805023592105326,-0.05843799150219429,0.9817894628209175,-7.520208333333334
Philippe Le Bourdais,plebourda,royal,26,-1.5319032081940176,-0.05891935416130837,0.9850375679555612,-5.927692307692307
Alec Wilson Holliday,awilsonho,hustle,50,-2.95831450184433,-0.0591662900368866,0.9820980716037616,-5.903
Nico Ranabhat,nranabhat,radicals,109,-6.522838379323,-0.05984255393874312,0.977451037184568,-6.0488073394495405
Zeke Thoreson,zthoreson,flyers,43,-2.5834908388451345,-0.060081182298724056,0.9792825145398376,-7.106046511627907
Gabe Vordick,gvordick,radicals,119,-7.153937125400762,-0.06011711870084674,0.9757636536653123,-6.409915966386555
Nate Knutson,nknutson,steel,70,-4.2201772725310445,-0.060288246750443496,0.9840514807586498,-5.292714285714286
Garrett Martin,gmartin1,cascades,55,-3.3352198429377977,-0.060640360780687234,0.9826714570466113,-5.802181818181818
